"S. No.","NETC Plaza Code","Fee Plaza Name","State","District","Section of Highway","National Highway","PIU","NHAI Regional Office"
"788","367004","Poonarimangalam","Kerala","Ernakulam","Kalamassery-JCTT Vallarpadam","9664","Cochin-II","Kerala"
"789","367006","Thiruvallam","Kerala","Thiruvananthapuram","Thiruvananthapuram-Kerala/Tamil Nadu border Section","66","Thiruvananthapuram","Kerala"
"790","367007","Paniyankara Toll Plaza","Kerala","Palakkad","Vadakkancherry to Thrissur Border","544","Palakkad","Kerala"
"864","381000","Managethi","Tamil Nadu","Ariyalur","Kallagam-Meensurutti","81 (NH-227)","Villupuram","Chennai"
"888","536043","Seetharampuram Toll Plaza","Andhra Pradesh","West Godavari","Dhindi to Digamarna","216 (old 214)","Rajahmundry","Vijayawada"
"896","536060","Chatrapatti Toll Plaza","Tamil Nadu","Virudhunagar","Oddanchatram-Madathukulam","83","Dindigul","Madurai"
"904","536071","Devikulam Plaza","Kerala","Kannur","Bodimettu to Munnar section","85","Cochin/Kochi","Kerala"
"908","536076","Balenahalli Toll Plaza","Karnataka","Chitradurga District","Challakere Hirivur (Pkg-III)","150A","Chitradurga","Bangalore"
"917","536087","Thuvakudi Toll Plaza","Tamil Nadu","Tiruchirappalli","Trichy Bypass from Km.110.016 to Km.135.930","67(New NH-83)","Trichy","Madurai"
"931","536102","Thirsivangad Toll Plaza","Kerala","Idukki","Thalassery-Mahe Bypass","66","Kozhikode","Kerala"
"932","536103","Gangarampalayam Toll Plaza","Tamil Nadu","Viluppuram","Viluppuram to Puducherry Section","45A (New NH-332)","Puducherry","Chennai"
"933","536105","Velampatti fee plaza","Tamil Nadu","Tiruppur","Avinashi-Tiruppur Avinashipalayam section","381","Coimbatore","Chennai"
"936","536109","Kothatai Toll Plaza","Tamil Nadu","Cuddalore","Poondiyankuppam Sattanathapuram","32 (NH 45A)","Puducherry","Chennai"
"946","536183","Linglapura Toll Plaza","Karnataka","Chikkamagaluru","Banwara-Bettadahalli","206 (New-73 & 69)","Tumkur","Bangalore"
"947","536194","Jonnade Toll Plaza","Andhra Pradesh","Visakhapatriam","Raipur-Visakhapatnam","26 (old-43)","Vishakhapatnam","Vijayawada"
